,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,애쉬,패배,31분 50초,회복,점멸,치명적 속도,영감,7/6/5,2.00,15,253,7.9,60%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,무한의 대검,주문포식자,롱소드
1,케이틀린,승리,18분 55초,회복,점멸,치명적 속도,마법,3/3/7,3.33,11,144,7.6,38%,광전사의 군화,무한의 대검,충전형 물약,열정의 검,도란의 검,-
2,케이틀린,승리,34분 9초,회복,점멸,치명적 속도,마법,12/4/11,5.75,17,225,6.6,64%,광전사의 군화,무한의 대검,고속 연사포,폭풍갈퀴,피바라기,-
3,미스 포츈,패배,25분 34초,회복,점멸,집중 공격,마법,3/5/1,0.80,11,175,6.8,36%,광전사의 군화,정수 약탈자,무한의 대검,-,-,-
4,바드,패배,28분 21초,탈진,점멸,수호자,지배,0/8/18,2.25,13,33,1.2,62%,명석함의 아이오니아 장화,타곤 산의 방벽,미카엘의 도가니,구원,제어 와드,-
5,이즈리얼,패배,19분 13초,회복,점멸,치명적 속도,영감,0/0/1,1.20,10,130,6.8,33%,속도의 장화,마나무네,-,광휘의 검,롱소드,도란의 방패
6,이즈리얼,승리,29분 28초,회복,점멸,치명적 속도,영감,2/0/5,8.40,15,232,7.9,23%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,콜필드의 전투 망치,군단의 방패
7,이즈리얼,패배,31분 38초,회복,점멸,치명적 속도,영감,7/1/11,18.00,15,202,6.4,67%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,처형인의 대검
8,이즈리얼,승리,27분 1초,정화,점멸,치명적 속도,영감,12/2/9,10.50,13,180,6.7,75%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,죽음의 무도,단검
9,미스 포츈,패배,22분 30초,회복,점멸,집중 공격,마법,3/4/1,1.00,11,160,7.1,50%,광전사의 군화,정수 약탈자,-,B.F. 대검,도란의 검,-
10,이즈리얼,승리,27분 49초,회복,점멸,치명적 속도,영감,10/2/2,6.00,14,192,6.9,35%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,죽음의 무도,-
11,이즈리얼,승리,29분 38초,회복,점멸,치명적 속도,영감,7/4/16,5.75,15,151,5.1,66%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,죽음의 무도,흡혈의 낫
12,이즈리얼,승리,20분 53초,회복,점멸,치명적 속도,영감,2/1/4,6.00,11,138,6.6,32%,명석함의 아이오니아 장화,마나무네,-,광휘의 검,빙하의 장막,도란의 방패
13,케이틀린,패배,31분 44초,정화,점멸,치명적 속도,마법,5/3/13,6.00,16,216,6.8,67%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,폭풍갈퀴,-
14,이즈리얼,승리,28분 48초,회복,점멸,치명적 속도,영감,5/3/7,4.00,14,176,6.1,48%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,콜필드의 전투 망치,군단의 방패,도란의 검
15,이즈리얼,패배,28분 43초,회복,점멸,치명적 속도,영감,5/4/6,2.75,13,172,6.0,65%,명석함의 아이오니아 장화,무라마나,제어 와드,얼어붙은 건틀릿,죽음의 무도,-
16,이즈리얼,승리,30분 41초,회복,점멸,치명적 속도,영감,6/0/14,24.00,15,212,6.9,67%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,죽음의 무도,흡혈의 낫,처형인의 대검
17,이즈리얼,승리,20분 3초,회복,점멸,치명적 속도,영감,2/2/3,2.50,10,112,5.6,36%,명석함의 아이오니아 장화,무라마나,광휘의 검,사파이어 수정,천 갑옷,도란의 검
18,애쉬,패배,25분 36초,회복,점멸,치명적 속도,영감,2/7/8,1.43,12,143,5.6,53%,광전사의 군화,몰락한 왕의 검,망가진 초시계,도란의 검,루난의 허리케인,-
19,케이틀린,패배,29분 19초,정화,점멸,기민한 발놀림,마법,5/4/5,2.50,14,199,6.8,53%,광전사의 군화,무한의 대검,제어 와드,고속 연사포,폭풍갈퀴,-
